car,corner,stint,C,age,grip,lt
VER,1,3,1,10.0,2.0724232047048763,96.22
VER,2,3,1,10.0,2.3269651559556412,96.22
VER,3,3,1,10.0,1.6374521462603324,96.22
VER,4,3,1,10.0,1.862956030767931,96.22
VER,5,3,1,10.0,1.4117141432763078,96.22
VER,6,3,1,10.0,1.191814610217981,96.22
VER,7,3,1,10.0,1.5964742575668902,96.22
VER,8,3,1,10.0,2.7305031192554896,96.22
VER,9,3,1,10.0,2.7305031192554896,96.22
VER,10,3,1,10.0,1.3943330765826019,96.22
VER,0,3,1,11.0,2.4655641474467047,96.198
VER,1,3,1,11.0,1.9747124784024368,96.198
VER,2,3,1,11.0,2.164288718560882,96.198
VER,3,3,1,11.0,2.0914882646095587,96.198
VER,4,3,1,11.0,1.7720043973072213,96.198
VER,5,3,1,11.0,1.3445788578334306,96.198
VER,6,3,1,11.0,1.3011837264977135,96.198
VER,7,3,1,11.0,1.723061092030356,96.198
VER,8,3,1,11.0,1.0998645099089623,96.198
VER,9,3,1,11.0,1.0998645099089623,96.198
VER,10,3,1,11.0,1.7028005806448654,96.198
VER,0,3,1,12.0,2.0146339873565515,96.689
VER,1,3,1,12.0,1.7021591730992536,96.689
VER,2,3,1,12.0,1.7713145075454912,96.689
VER,3,3,1,12.0,1.280269382104311,96.689
VER,4,3,1,12.0,2.837273948371168,96.689
VER,5,3,1,12.0,1.033727363404973,96.689
VER,6,3,1,12.0,0.7635837831135065,96.689
VER,7,3,1,12.0,1.5747158557570147,96.689
VER,8,3,1,12.0,1.105711283435749,96.689
VER,9,3,1,12.0,1.105711283435749,96.689
VER,10,3,1,12.0,1.7361641171653555,96.689
VER,0,3,1,13.0,2.4945339958945554,96.877
VER,1,3,1,13.0,1.8058906561168264,96.877
VER,2,3,1,13.0,2.587491584948458,96.877
VER,3,3,1,13.0,1.3854171579732235,96.877
VER,4,3,1,13.0,1.8104350149631374,96.877
VER,5,3,1,13.0,1.7194658030280996,96.877
VER,6,3,1,13.0,0.9242172745146725,96.877
VER,7,3,1,13.0,2.0363752786868328,96.877
VER,8,3,1,13.0,1.3884076676012984,96.877
VER,9,3,1,13.0,1.3884076676012984,96.877
VER,10,3,1,13.0,1.5894695998956527,96.877
VER,0,3,1,14.0,2.268163240732639,96.64
VER,1,3,1,14.0,1.7717544809707735,96.64
VER,2,3,1,14.0,2.049159179395755,96.64
VER,3,3,1,14.0,1.3992352247977653,96.64
VER,4,3,1,14.0,2.2103315847916676,96.64
VER,5,3,1,14.0,1.2183266468104432,96.64
VER,6,3,1,14.0,0.8733077199473388,96.64
VER,7,3,1,14.0,1.5611654956952299,96.64
VER,8,3,1,14.0,1.0874178504169907,96.64
VER,9,3,1,14.0,1.0874178504169907,96.64
VER,10,3,1,14.0,1.3365673812542676,96.64
VER,0,3,1,15.0,2.161883892359918,97.05
VER,1,3,1,15.0,1.7355196720046677,97.05
VER,2,3,1,15.0,2.1353328540713328,97.05
VER,3,3,1,15.0,1.766903603189767,97.05
VER,4,3,1,15.0,1.879711597086108,97.05
VER,5,3,1,15.0,1.2699527845197176,97.05
VER,6,3,1,15.0,0.8679092716561637,97.05
VER,7,3,1,15.0,2.710622801359682,97.05
VER,8,3,1,15.0,2.131375441476691,97.05
VER,9,3,1,15.0,2.131375441476691,97.05
VER,10,3,1,15.0,1.5477243731707653,97.05
VER,0,3,1,16.0,2.365583768673844,96.3
VER,1,3,1,16.0,1.7396008215334045,96.3
VER,2,3,1,16.0,2.171039386640704,96.3
VER,3,3,1,16.0,1.140007027030316,96.3
VER,4,3,1,16.0,2.2570884628640315,96.3
VER,5,3,1,16.0,1.5044270363046837,96.3
VER,6,3,1,16.0,1.2693000858781325,96.3
VER,7,3,1,16.0,1.8290852851450257,96.3
VER,8,3,1,16.0,1.4533285696544989,96.3
VER,9,3,1,16.0,1.4533285696544989,96.3
VER,10,3,1,16.0,1.3244538756152802,96.3
PER,0,2,1,3.0,2.6384131915677456,99.985
PER,1,2,1,3.0,1.455346700041829,99.985
PER,2,2,1,3.0,2.112688617755899,99.985
PER,3,2,1,3.0,1.4410451246389249,99.985
PER,4,2,1,3.0,1.699141639276643,99.985
PER,5,2,1,3.0,1.1227215129170163,99.985
PER,6,2,1,3.0,0.6993772618518632,99.985
PER,7,2,1,3.0,1.0627499476210005,99.985
PER,8,2,1,3.0,2.109982940210746,99.985
PER,9,2,1,3.0,2.109982940210746,99.985
PER,10,2,1,3.0,1.4506107910592196,99.985
PER,0,2,1,4.0,2.431538542815592,100.759
PER,1,2,1,4.0,1.7463441530000805,100.759
PER,2,2,1,4.0,1.9326379789029928,100.759
PER,3,2,1,4.0,1.9174932813549042,100.759
PER,4,2,1,4.0,1.578983022374563,100.759
PER,5,2,1,4.0,1.3542873157626008,100.759
